action,profile_slug,brand_name,source_value,canonical_value,license_number,evidence_url
NORMALIZED_REGULATOR_NAME,fixio,FIXIO,SCB,SCB,,https://fixiomarkets.com/en/home
NORMALIZED_REGULATOR_NAME,cgs-international,CGS International,MAS,MAS,,https://www.cgsi.co.th
NORMALIZED_REGULATOR_NAME,trive-invest,trive invest,ASIC,ASIC,,https://www.triveinvest.co.id/
NORMALIZED_REGULATOR_NAME,moomoo,Moomoo,MAS,MAS,,
NORMALIZED_REGULATOR_NAME,usmart,uSMART,MAS,MAS,,
NORMALIZED_REGULATOR_NAME,orient-securities,ORIENT SECURITIES,MAS,MAS,,
NORMALIZED_REGULATOR_NAME,blackrock,Blackrock,MAS,MAS,,
NORMALIZED_REGULATOR_NAME,stonex,StoneX,MAS,MAS,,
NORMALIZED_REGULATOR_NAME,kgi,KGI,MAS,MAS,,
NORMALIZED_REGULATOR_NAME,phillip-nova,Phillip Nova,MAS,MAS,,
NORMALIZED_REGULATOR_NAME,ocbc,OCBC,MAS,MAS,,
NORMALIZED_REGULATOR_NAME,starx-capital-markets,STARX CAPITAL MARKETS,MAS,MAS,,
NORMALIZED_REGULATOR_NAME,straits-financial,Straits Financial,MAS,MAS,,
NORMALIZED_REGULATOR_NAME,tickrs,tickrs,MAS,MAS,,
NORMALIZED_REGULATOR_NAME,lunaro,Lunaro,ADGM,ADGM,,
NORMALIZED_REGULATOR_NAME,focus-markets,FOCUS Markets,FSC Mauritius,FSC Mauritius,,
NORMALIZED_REGULATOR_NAME,intertrader,INTERTRADER,FSC Mauritius,FSC Mauritius,,
NORMALIZED_REGULATOR_NAME,tjm,TJM,FINRA,FINRA,,
NORMALIZED_REGULATOR_NAME,ci-direct-investing,CI DIRECT INVESTING,CIRO,CIRO,,
NORMALIZED_REGULATOR_NAME,cg-direct,cg/ Direct,CIRO,CIRO,,
NORMALIZED_REGULATOR_NAME,rbc,RBC,CIRO,CIRO,,
NORMALIZED_REGULATOR_NAME,rbc-securities,RBC Securities,CIRO,CIRO,,
NORMALIZED_REGULATOR_NAME,odlum-brown,Odlum Brown,CIRO,CIRO,,
NORMALIZED_REGULATOR_NAME,candeal,CANDEAL,CIRO,CIRO,,
NORMALIZED_REGULATOR_NAME,r-j-o-brien,R.J.O'Brien,CIRO,CIRO,,
NORMALIZED_REGULATOR_NAME,jitneytrade,Jitneytrade,CIRO,CIRO,,
NORMALIZED_REGULATOR_NAME,argosy-securities,Argosy Securities,CIRO,CIRO,,
NORMALIZED_REGULATOR_NAME,ventum-financial,Ventum Financial,CIRO,CIRO,,
NORMALIZED_REGULATOR_NAME,jonestrading,JonesTrading,CIRO,CIRO,,
NORMALIZED_REGULATOR_NAME,dupoin,Dupoin,FSC Mauritius,FSC Mauritius,,
NORMALIZED_REGULATOR_NAME,kvb,KVB,FSC Mauritius,FSC Mauritius,,
NORMALIZED_REGULATOR_NAME,valetax,Valetax,FSC Mauritius,FSC Mauritius,,
NORMALIZED_REGULATOR_NAME,xs-com,XS.com,FSC Mauritius,FSC Mauritius,,
NORMALIZED_REGULATOR_NAME,aetram,AETRAM,FSC Mauritius,FSC Mauritius,,
NORMALIZED_REGULATOR_NAME,aurum-markets,AURUM MARKETS,FSC Mauritius,FSC Mauritius,,
NORMALIZED_REGULATOR_NAME,varianse,VARIANSE,FSC Mauritius,FSC Mauritius,,
NORMALIZED_REGULATOR_NAME,capitalxtend,CapitalXtend,FSC Mauritius,FSC Mauritius,,
NORMALIZED_REGULATOR_NAME,amillex,Amillex,FSC Mauritius,FSC Mauritius,,
NORMALIZED_REGULATOR_NAME,wisuno,Wisuno,FSC Mauritius,FSC Mauritius,,
NORMALIZED_REGULATOR_NAME,zero,ZERO,FSC Mauritius,FSC Mauritius,,
NORMALIZED_REGULATOR_NAME,spec-markets,Spec Markets,FSC Mauritius,FSC Mauritius,,
NORMALIZED_REGULATOR_NAME,godo,GODO,FSC Mauritius,FSC Mauritius,,
